nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
ADANIPORTS.NS,ACC.NS,ACC.NS,3MINDIA.NS,20MICRONS.NS,AXISBANK.NS,HCLTECH.NS,BANKBARODA.NS,BRITANNIA.NS,AXISBANK.NS,APLAPOLLO.NS,AUROPHARMA.NS,AXISBANK.NS
ASIANPAINT.NS,ADANIPORTS.NS,AUBANK.NS,ACC.NS,21STCENMGM.NS,BANDHANBNK.NS,HEXAWARE.NS,BANKINDIA.NS,COLPAL.NS,BANDHANBNK.NS,COALINDIA.NS,BIOCON.NS,BAJFINANCE.NS
AXISBANK.NS,ADANITRANS.NS,ADANIPORTS.NS,AIAENG.NS,3IINFOTECH.NS,BANKBARODA.NS,INFY.NS,MAHABANK.NS,DABUR.NS,CUB.NS,HINDALCO.NS,CADILAHC.NS,BAJAJFINSV.NS
BAJAJ-AUTO.NS,AMBUJACEM.NS,ADANIPOWER.NS,APLAPOLLO.NS,3MINDIA.NS,FEDERALBNK.NS,JUSTDIAL.NS,CANBK.NS,EMAMILTD.NS,FEDERALBNK.NS,HINDCOPPER.NS,CIPLA.NS,BAJAJHLDNG.NS
BAJFINANCE.NS,ASHOKLEY.NS,ADANITRANS.NS,AUBANK.NS,3PLAND.NS,HDFCBANK.NS,MINDTREE.NS,CENTRALBK.NS,GODREJCP.NS,HDFCBANK.NS,HINDZINC.NS,DIVISLAB.NS,CHOLAFIN.NS
BAJAJFINSV.NS,ASIANPAINT.NS,ABCAPITAL.NS,AARTIIND.NS,5PAISA.NS,ICICIBANK.NS,NIITTECH.NS,INDIANB.NS,GODREJIND.NS,ICICIBANK.NS,JSWSTEEL.NS,DRREDDY.NS,EDELWEISS.NS
BPCL.NS,AUROPHARMA.NS,ABFRL.NS,AAVAS.NS,63MOONS.NS,IDFCFIRSTB.NS,TCS.NS,IOB.NS,HINDUNILVR.NS,IDFCFIRSTB.NS,JINDALSTEL.NS,GLENMARK.NS,HDFCBANK.NS
BHARTIARTL.NS,DMART.NS,AJANTPHARM.NS,ABBOTINDIA.NS,A2ZINFRA.NS,INDUSINDBK.NS,TATAELXSI.NS,J&KBANK.NS,ITC.NS,INDUSINDBK.NS,MOIL.NS,LUPIN.NS,HDFCLIFE.NS
INFRATEL.NS,AXISBANK.NS,ALKEM.NS,ADANIGAS.NS,AARTIDRUGS.NS,KOTAKBANK.NS,TECHM.NS,PSB.NS,JUBLFOOD.NS,KOTAKBANK.NS,NMDC.NS,PEL.NS,HDFC.NS
BRITANNIA.NS,BAJAJ-AUTO.NS,AMARAJABAT.NS,ADANIGREEN.NS,AARTIIND.NS,PNB.NS,WIPRO.NS,PNB.NS,MARICO.NS,RBLBANK.NS,NATIONALUM.NS,SUNPHARMA.NS,ICICIBANK.NS
CIPLA.NS,BAJFINANCE.NS,AMBUJACEM.NS,ADANIPORTS.NS,AARVEEDEN.NS,RBLBANK.NS,,SBIN.NS,NESTLEIND.NS,,RATNAMANI.NS,,ICICIGI.NS
COALINDIA.NS,BAJAJFINSV.NS,APOLLOHOSP.NS,ADANIPOWER.NS,AAVAS.NS,SBIN.NS,,UCOBANK.NS,PGHH.NS,,SAIL.NS,,ICICIPRULI.NS
DRREDDY.NS,BAJAJHLDNG.NS,APOLLOTYRE.NS,ADANITRANS.NS,ABAN.NS,,,UNIONBANK.NS,TATACONSUM.NS,,TATASTEEL.NS,,IBULHSGFIN.NS
EICHERMOT.NS,BANDHANBNK.NS,ASHOKLEY.NS,ABCAPITAL.NS,ABB.NS,,,,UBL.NS,,VEDL.NS,,KOTAKBANK.NS
GAIL.NS,BANKBARODA.NS,ASIANPAINT.NS,ABFRL.NS,ABBOTINDIA.NS,,,,MCDOWELL-N.NS,,WELCORP.NS,,M&MFIN.NS
GRASIM.NS,BERGEPAINT.NS,AUROPHARMA.NS,ADVENZYMES.NS,ABCAPITAL.NS,,,,,,,,PFC.NS
HCLTECH.NS,BPCL.NS,DMART.NS,AEGISCHEM.NS,ABFRL.NS,,,,,,,,RECLTD.NS
HDFCBANK.NS,BHARTIARTL.NS,AXISBANK.NS,AFFLE.NS,ABMINTLTD.NS,,,,,,,,SBILIFE.NS
HEROMOTOCO.NS,INFRATEL.NS,BAJAJ-AUTO.NS,AJANTPHARM.NS,ACC.NS,,,,,,,,SRTRANSFIN.NS
HINDALCO.NS,BIOCON.NS,BAJFINANCE.NS,AKZOINDIA.NS,ACCELYA.NS,,,,,,,,SBIN.NS
HINDUNILVR.NS,BOSCHLTD.NS,BAJAJFINSV.NS,APLLTD.NS,ACE.NS,,,,,,,,
HDFC.NS,BRITANNIA.NS,BAJAJHLDNG.NS,ALKEM.NS,ADANIENT.NS,,,,,,,,
ICICIBANK.NS,CADILAHC.NS,BALKRISIND.NS,ALLCARGO.NS,ADANIGAS.NS,,,,,,,,
ITC.NS,CIPLA.NS,BANDHANBNK.NS,AMARAJABAT.NS,ADANIGREEN.NS,,,,,,,,
IOC.NS,COALINDIA.NS,BANKBARODA.NS,AMBER.NS,ADANIPORTS.NS,,,,,,,,
INDUSINDBK.NS,COLPAL.NS,BANKINDIA.NS,AMBUJACEM.NS,ADANIPOWER.NS,,,,,,,,
INFY.NS,CONCOR.NS,BATAINDIA.NS,APOLLOHOSP.NS,ADANITRANS.NS,,,,,,,,
JSWSTEEL.NS,DLF.NS,BERGEPAINT.NS,APOLLOTYRE.NS,ADFFOODS.NS,,,,,,,,
KOTAKBANK.NS,DABUR.NS,BEL.NS,ARVINDFASN.NS,ADHUNIKIND.NS,,,,,,,,
LT.NS,DIVISLAB.NS,BHARATFORG.NS,ASAHIINDIA.NS,ADORWELD.NS,,,,,,,,
M&M.NS,DRREDDY.NS,BHEL.NS,ASHOKLEY.NS,ADROITINFO.NS,,,,,,,,
MARUTI.NS,EICHERMOT.NS,BPCL.NS,ASHOKA.NS,ADSL.NS,,,,,,,,
NTPC.NS,GAIL.NS,BHARTIARTL.NS,ASIANPAINT.NS,ADVANIHOTR.NS,,,,,,,,
NESTLEIND.NS,GICRE.NS,INFRATEL.NS,ASTERDM.NS,ADVENZYMES.NS,,,,,,,,
ONGC.NS,GODREJCP.NS,BIOCON.NS,ASTRAZEN.NS,AEGISCHEM.NS,,,,,,,,
POWERGRID.NS,GRASIM.NS,BBTC.NS,ASTRAL.NS,AFFLE.NS,,,,,,,,
RELIANCE.NS,HCLTECH.NS,BOSCHLTD.NS,ATUL.NS,AGARIND.NS,,,,,,,,
SHREECEM.NS,HDFCAMC.NS,BRITANNIA.NS,AUROPHARMA.NS,AGCNET.NS,,,,,,,,
SBIN.NS,HDFCBANK.NS,CESC.NS,AVANTIFEED.NS,AGRITECH.NS,,,,,,,,
SUNPHARMA.NS,HDFCLIFE.NS,CADILAHC.NS,DMART.NS,AGROPHOS.NS,,,,,,,,
TCS.NS,HAVELLS.NS,CANBK.NS,AXISBANK.NS,AHLEAST.NS,,,,,,,,
TATAMOTORS.NS,HEROMOTOCO.NS,CASTROLIND.NS,BASF.NS,AHLUCONT.NS,,,,,,,,
TATASTEEL.NS,HINDALCO.NS,CHOLAFIN.NS,BEML.NS,AHLWEST.NS,,,,,,,,
TECHM.NS,HINDPETRO.NS,CIPLA.NS,BSE.NS,AIAENG.NS,,,,,,,,
TITAN.NS,HINDUNILVR.NS,CUB.NS,BAJAJ-AUTO.NS,AIONJSW.NS,,,,,,,,
UPL.NS,HINDZINC.NS,COALINDIA.NS,BAJAJCON.NS,AIRAN.NS,,,,,,,,
ULTRACEMCO.NS,HDFC.NS,COLPAL.NS,BAJAJELEC.NS,AJANTPHARM.NS,,,,,,,,
VEDL.NS,ICICIBANK.NS,CONCOR.NS,BAJFINANCE.NS,AJMERA.NS,,,,,,,,
WIPRO.NS,ICICIGI.NS,COROMANDEL.NS,BAJAJFINSV.NS,AKASH.NS,,,,,,,,
ZEEL.NS,ICICIPRULI.NS,CROMPTON.NS,BAJAJHLDNG.NS,AKSHARCHEM.NS,,,,,,,,
,ITC.NS,CUMMINSIND.NS,BALKRISIND.NS,AKSHOPTFBR.NS,,,,,,,,
,IBULHSGFIN.NS,DLF.NS,BALMLAWRIE.NS,AKZOINDIA.NS,,,,,,,,
,IOC.NS,DABUR.NS,BALRAMCHIN.NS,ALANKIT.NS,,,,,,,,
,INDUSINDBK.NS,DALBHARAT.NS,BANDHANBNK.NS,ALBERTDAVD.NS,,,,,,,,
,INFY.NS,DIVISLAB.NS,BANKBARODA.NS,ALCHEM.NS,,,,,,,,
,INDIGO.NS,DRREDDY.NS,BANKINDIA.NS,ALEMBICLTD.NS,,,,,,,,
,JSWSTEEL.NS,EDELWEISS.NS,MAHABANK.NS,ALICON.NS,,,,,,,,
,KOTAKBANK.NS,EICHERMOT.NS,BATAINDIA.NS,ALKALI.NS,,,,,,,,
,L&TFH.NS,EMAMILTD.NS,BAYERCROP.NS,ALKEM.NS,,,,,,,,
,LT.NS,ENDURANCE.NS,BERGEPAINT.NS,ALKYLAMINE.NS,,,,,,,,
,LUPIN.NS,ENGINERSIN.NS,BDL.NS,ALLCARGO.NS,,,,,,,,
,M&M.NS,ESCORTS.NS,BEL.NS,ALLSEC.NS,,,,,,,,
,MARICO.NS,EXIDEIND.NS,BHARATFORG.NS,ALMONDZ.NS,,,,,,,,
,MARUTI.NS,FEDERALBNK.NS,BHEL.NS,ALOKINDS.NS,,,,,,,,
,MOTHERSUMI.NS,FORTIS.NS,BPCL.NS,ALPA.NS,,,,,,,,
,NHPC.NS,FCONSUMER.NS,BHARTIARTL.NS,ALPHAGEO.NS,,,,,,,,
,NMDC.NS,FRETAIL.NS,INFRATEL.NS,ALPSINDUS.NS,,,,,,,,
,NTPC.NS,GAIL.NS,BIOCON.NS,AMARAJABAT.NS,,,,,,,,
,NESTLEIND.NS,GMRINFRA.NS,BIRLACORPN.NS,AMBER.NS,,,,,,,,
,ONGC.NS,GICRE.NS,BSOFT.NS,AMBIKCO.NS,,,,,,,,
,OFSS.NS,GLENMARK.NS,BLISSGVS.NS,AMBUJACEM.NS,,,,,,,,
,PAGEIND.NS,GODREJAGRO.NS,BLUEDART.NS,AMDIND.NS,,,,,,,,
,PETRONET.NS,GODREJCP.NS,BLUESTARCO.NS,AMJLAND.NS,,,,,,,,
,PIDILITIND.NS,GODREJIND.NS,BBTC.NS,AMRUTANJAN.NS,,,,,,,,
,PEL.NS,GODREJPROP.NS,BOMDYEING.NS,ANANTRAJ.NS,,,,,,,,
,PFC.NS,GRAPHITE.NS,BOSCHLTD.NS,ANDHRACEMT.NS,,,,,,,,
,POWERGRID.NS,GRASIM.NS,BRIGADE.NS,ANDHRAPAP.NS,,,,,,,,
,PGHH.NS,GSPL.NS,BRITANNIA.NS,ANDHRSUGAR.NS,,,,,,,,
,PNB.NS,HEG.NS,CARERATING.NS,ANIKINDS.NS,,,,,,,,
,RELIANCE.NS,HCLTECH.NS,CCL.NS,ANKITMETAL.NS,,,,,,,,
,SBILIFE.NS,HDFCAMC.NS,CESC.NS,ANSALAPI.NS,,,,,,,,
,SHREECEM.NS,HDFCBANK.NS,CRISIL.NS,ANSALHSG.NS,,,,,,,,
,SRTRANSFIN.NS,HDFCLIFE.NS,CADILAHC.NS,ANUP.NS,,,,,,,,
,SIEMENS.NS,HAVELLS.NS,CANFINHOME.NS,APARINDS.NS,,,,,,,,
,SBIN.NS,HEROMOTOCO.NS,CANBK.NS,APCL.NS,,,,,,,,
,SUNPHARMA.NS,HEXAWARE.NS,CAPLIPOINT.NS,APCOTEXIND.NS,,,,,,,,
,TCS.NS,HINDALCO.NS,CGCL.NS,APEX.NS,,,,,,,,
,TATAMTRDVR.NS,HINDPETRO.NS,CARBORUNIV.NS,APLAPOLLO.NS,,,,,,,,
,TATAMOTORS.NS,HINDUNILVR.NS,CASTROLIND.NS,APLLTD.NS,,,,,,,,
,TATASTEEL.NS,HINDZINC.NS,CEATLTD.NS,APOLLO.NS,,,,,,,,
,TECHM.NS,HUDCO.NS,CENTRALBK.NS,APOLLOHOSP.NS,,,,,,,,
,NIACL.NS,HDFC.NS,CDSL.NS,APOLLOPIPE.NS,,,,,,,,
,TITAN.NS,ICICIBANK.NS,CENTURYPLY.NS,APOLLOTYRE.NS,,,,,,,,
,UPL.NS,ICICIGI.NS,CERA.NS,APOLSINHOT.NS,,,,,,,,
,ULTRACEMCO.NS,ICICIPRULI.NS,CHALET.NS,APTECHT.NS,,,,,,,,
,UBL.NS,IDBI.NS,CHAMBLFERT.NS,ARCHIDPLY.NS,,,,,,,,
,MCDOWELL-N.NS,IDFCFIRSTB.NS,CHENNPETRO.NS,ARCHIES.NS,,,,,,,,
,VEDL.NS,ITC.NS,CHOLAHLDNG.NS,ARCOTECH.NS,,,,,,,,
,IDEA.NS,IBULHSGFIN.NS,CHOLAFIN.NS,ARENTERP.NS,,,,,,,,
,WIPRO.NS,IBVENTURES.NS,CIPLA.NS,ARIES.NS,,,,,,,,
,ZEEL.NS,INDIANB.NS,CUB.NS,ARIHANT.NS,,,,,,,,
,,INDHOTEL.NS,COALINDIA.NS,ARIHANTSUP.NS,,,,,,,,
,,IOC.NS,COCHINSHIP.NS,ARMANFIN.NS,,,,,,,,
,,IGL.NS,COLPAL.NS,AROGRANITE.NS,,,,,,,,
,,INDUSINDBK.NS,CONCOR.NS,ARROWGREEN.NS,,,,,,,,
,,NAUKRI.NS,COROMANDEL.NS,ARSHIYA.NS,,,,,,,,
,,INFY.NS,CREDITACC.NS,ARSSINFRA.NS,,,,,,,,
,,INDIGO.NS,CROMPTON.NS,ARTEMISMED.NS,,,,,,,,
,,IPCALAB.NS,CUMMINSIND.NS,ARVIND.NS,,,,,,,,
,,JSWENERGY.NS,CYIENT.NS,ARVINDFASN.NS,,,,,,,,
,,JSWSTEEL.NS,DBCORP.NS,ARVSMART.NS,,,,,,,,
,,JINDALSTEL.NS,DCBBANK.NS,ASAHIINDIA.NS,,,,,,,,
,,JUBLFOOD.NS,DCMSHRIRAM.NS,ASAHISONG.NS,,,,,,,,
,,JUBILANT.NS,DLF.NS,ASAL.NS,,,,,,,,
,,KOTAKBANK.NS,DABUR.NS,ASALCBR.NS,,,,,,,,
,,L&TFH.NS,DALBHARAT.NS,ASHAPURMIN.NS,,,,,,,,
,,LTTS.NS,DEEPAKNTR.NS,ASHIANA.NS,,,,,,,,
,,LICHSGFIN.NS,DELTACORP.NS,ASHIMASYN.NS,,,,,,,,
,,LTI.NS,DHFL.NS,ASHOKA.NS,,,,,,,,
,,LT.NS,DBL.NS,ASHOKLEY.NS,,,,,,,,
,,LUPIN.NS,DISHTV.NS,ASIANHOTNR.NS,,,,,,,,
,,MRF.NS,DCAL.NS,ASIANPAINT.NS,,,,,,,,
,,MGL.NS,DIVISLAB.NS,ASIANTILES.NS,,,,,,,,
,,M&MFIN.NS,DIXON.NS,ASPINWALL.NS,,,,,,,,
,,M&M.NS,LALPATHLAB.NS,ASTEC.NS,,,,,,,,
,,MANAPPURAM.NS,DRREDDY.NS,ASTERDM.NS,,,,,,,,
,,MRPL.NS,EIDPARRY.NS,ASTRAL.NS,,,,,,,,
,,MARICO.NS,EIHOTEL.NS,ASTRAMICRO.NS,,,,,,,,
,,MARUTI.NS,EDELWEISS.NS,ASTRAZEN.NS,,,,,,,,
,,MFSL.NS,EICHERMOT.NS,ASTRON.NS,,,,,,,,
,,MINDTREE.NS,ELGIEQUIP.NS,ATFL.NS,,,,,,,,
,,MOTHERSUMI.NS,EMAMILTD.NS,ATLANTA.NS,,,,,,,,
,,MPHASIS.NS,ENDURANCE.NS,ATLASCYCLE.NS,,,,,,,,
,,MUTHOOTFIN.NS,ENGINERSIN.NS,ATUL.NS,,,,,,,,
,,NATCOPHARM.NS,EQUITAS.NS,ATULAUTO.NS,,,,,,,,
,,NBCC.NS,ERIS.NS,AUBANK.NS,,,,,,,,
,,NHPC.NS,ESCORTS.NS,AURIONPRO.NS,,,,,,,,
,,NMDC.NS,ESSELPACK.NS,AUROPHARMA.NS,,,,,,,,
,,NTPC.NS,EXIDEIND.NS,AUSOMENT.NS,,,,,,,,
,,NATIONALUM.NS,FDC.NS,AUTOAXLES.NS,,,,,,,,
,,NESTLEIND.NS,FEDERALBNK.NS,AUTOIND.NS,,,,,,,,
,,NAM-INDIA.NS,FMGOETZE.NS,AUTOLITIND.NS,,,,,,,,
,,OBEROIRLTY.NS,FINEORG.NS,AVADHSUGAR.NS,,,,,,,,
,,ONGC.NS,FINCABLES.NS,AVANTIFEED.NS,,,,,,,,
,,OIL.NS,FINPIPE.NS,AVTNPL.NS,,,,,,,,
,,OFSS.NS,FSL.NS,AXISBANK.NS,,,,,,,,
,,PIIND.NS,FORTIS.NS,AXISCADES.NS,,,,,,,,
